key,label,n,is_mean,is_t,is_nw,is_trim,p_is,ho_mean,ho_t,ho_nw,ho_win,p_ho,wf_mean,wf_t,wf_win,wf_n,p_wf,boot_p5,boot_p50,boot_p95,p_leq_0,wf_trim,n_gates,VERDICT,gates
news_EURUSD_1.0_5_H,news EURUSD thr=1.0 h=5 tier=H,280,-0.0008263442610948787,-0.9752013061135723,-1.0413555643303074,-0.0016488280150761755,0.7962037962037962,0.0015631299649085414,1.7512016060898907,1.5709565550479798,0.5616438356164384,0.03696303696303696,0.0009379832924136637,,,8,0.000999000999000999,0.00026851211585859067,0.0009331802664345611,0.001760467317686764,0.0052,0.000675803034505121,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
news_EURUSD_2.0_5_HM,news EURUSD thr=2.0 h=5 tier=HM,377,0.0005915088908121373,0.9444987209829164,0.8169785462194423,0.0017302861640224058,0.14985014985014986,0.0009072044007864641,0.8958995831955838,1.1477750002112588,0.5251798561151079,0.16683316683316685,0.0011013047132335055,,,9,0.000999000999000999,0.0002872484618015004,0.0011011926348603648,0.0018900627565525618,0.0108,0.0011785485046260503,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
news_USDCAD_1.0_5_H,news USDCAD thr=1.0 h=5 tier=H,280,0.0012692376128622495,1.3593706930529332,1.239450394433313,0.0008944643876350885,0.07492507492507493,0.000783873449963225,1.1621425321434784,1.11993119164098,0.547945205479452,0.1108891108891109,0.0010495064055861289,,,8,0.000999000999000999,0.0002276821617269325,0.0010109881717805696,0.0019881185854864966,0.0064,0.0007071824866609391,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
news_USDCHF_0.5_5_HM,news USDCHF thr=0.5 h=5 tier=HM,2852,2.1992189797848586e-05,0.09484737863433404,0.08623123762247008,0.0002529109047144159,0.2777222777222777,0.0010907035007676144,3.4910995743437474,2.8712839498904215,0.5446950710108605,0.000999000999000999,0.00026531081648958996,0.8963811057866553,0.4,10,0.000999000999000999,-0.0002077875148601303,0.0002655151329217411,0.0007171013447792133,0.1808,0.00029951333897588523,3,FAIL,|t_is|>2; p_is<0.01; boot P(<=0)<0.05
news_USDCHF_1.0_5_HM,news USDCHF thr=1.0 h=5 tier=HM,1479,-7.888664158732998e-05,-0.2483597694409252,-0.21843222869668139,5.5892327415556e-05,0.4775224775224775,0.0010219329613367796,2.2511040431658955,1.8293489433011918,0.5311418685121108,0.005994005994005994,0.00047738201773232325,1.569547341772886,0.4,10,0.000999000999000999,1.706177847296598e-05,0.00045827734111780673,0.0009821365618364229,0.0462,0.00038574138663356804,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
news_USDCHF_2.0_5_HM,news USDCHF thr=2.0 h=5 tier=HM,377,0.0009920537380120422,1.7292628565790689,1.439983228871205,0.0018026012408909494,0.03396603396603397,0.0010958619099890143,1.1004880265038788,1.1909746829245411,0.5251798561151079,0.1038961038961039,0.0009002901587690025,,,9,0.000999000999000999,9.007072696074035e-06,0.0009155791507337634,0.0016917724146054563,0.0474,0.0010837193423166535,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
basket_1.0_5_H,basket thr=1.0 h=5 tier=H,280,-0.00032179623044577824,-0.3641149555027411,-0.354593164965019,-0.0007945883341344488,0.998001998001998,0.0015187292916036795,1.7933102745247131,1.5235075528112556,0.5342465753424658,0.000999000999000999,0.0009408258533027058,,,8,0.000999000999000999,0.0001326475409819855,0.0009407424349760173,0.0018430123270159176,0.0256,0.0007528009868772471,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
news_USDCHF_0.5_3_HM,news USDCHF thr=0.5 h=3 tier=HM,2855,-8.949980382997435e-05,-0.4974219695406989,-0.46311063720444423,7.529099997270903e-05,0.4595404595404595,0.0008157294072792733,3.262847133360625,2.617011916227747,0.5316666666666666,0.000999000999000999,0.00017938897295763893,0.941899078986292,0.5,10,0.001998001998001998,-0.00012544618266424747,0.00017941767303305265,0.0004714526534119103,0.1686,0.00019387528613917332,3,FAIL,|t_is|>2; p_is<0.01; boot P(<=0)<0.05
news_NZDUSD_2.0_5_HM,news NZDUSD thr=2.0 h=5 tier=HM,377,0.00047637221534871783,0.5094103080254111,0.4461001817723245,0.0018513852676820893,0.2517482517482518,0.001283477864162642,1.0768707136320892,1.0008050123107906,0.5683453237410072,0.1018981018981019,0.0013821609143764991,,,9,0.001998001998001998,8.366110096118449e-05,0.0014143661389382895,0.0026550167838456464,0.0394,0.00153868788797954,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
sizez_EURUSD_1.0_H,size|z| EURUSD thr=1.0 tier=H,281,-0.00038560174762540365,-0.5747901884049071,-0.560204416037696,-0.0006060557771158472,0.8471528471528471,0.0015027987191896333,1.8599124628236356,1.4927876864437908,0.5510204081632653,0.000999000999000999,0.000998190935240846,,,8,0.001998001998001998,0.00044509380423422026,0.0009676475932801603,0.0016496581537405678,0.001,0.000792949042483622,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
sizez_USDJPY_1.0_H,size|z| USDJPY thr=1.0 tier=H,281,-0.00039265241283578835,-0.3744504505058442,-0.36215999410826144,-0.0002978857875281589,0.8901098901098901,0.002331887068368611,2.184915519912974,1.8005754441846689,0.5306122448979592,0.000999000999000999,0.0011396632629327393,,,8,0.001998001998001998,0.00029496487496545235,0.0010919934593002563,0.0021445013055431134,0.0046,0.00068479560794809,3,FAIL,|t_is|>2; p_is<0.01; ho NW t>2 & p<0.05
title_Non_Farm_Payrolls,title Non Farm Payrolls,265,-0.0003557177259628401,-0.7188263718407742,-0.701241356393658,-0.00030669982373489286,0.6993006993006993,0.0028204869120209155,4.356410540106805,2.813222430543251,0.584,0.000999000999000999,0.0008928133330211508,,,9,0.001998001998001998,-0.0004974287334299698,0.0008117827562831966,0.002895334497925214,0.2372,5.7851280483358116e-05,3,FAIL,|t_is|>2; p_is<0.01; boot P(<=0)<0.05
sizez_AUDUSD_1.0_HM,size|z| AUDUSD thr=1.0 tier=HM,1481,-0.0005713351287993042,-1.0561621983964273,-0.9973089499189365,-0.0006154878289832275,0.998001998001998,0.0017723529163737558,3.1982376670272625,2.573159140915498,0.55,0.000999000999000999,0.0004739727430384262,1.424476345810097,0.4,10,0.002997002997002997,0.0,0.0004632249160229484,0.0010219601252495522,0.0506,0.00037594388929884913,3,FAIL,|t_is|>2; p_is<0.01; boot P(<=0)<0.05
