kind,key,commodity,months,label,mechanism,source,direction,sel_n,sel_mean,sel_t,n_hold,ho_mean,ho_t,win,p_mc,ho_h1,ho_h2,t212,net_mean_8%,net_t_8%,win_8%,net_mean_15%,net_t_15%,win_15%,net_mean_25%,net_t_25%,win_25%
grid,RB_12-12,RB,12-12,RB 12,single-month grid,grid,1,15,0.00813182323439033,0.24023271598863266,11,-0.008989700178813613,-0.35838037954132435,0.5454545454545454,0.34965034965034963,-0.01489750685833953,-0.004066527945875351,Y,-0.0031563668454802807,-0.12583066460000222,0.5454545454545454,-0.008989700178813613,-0.35838037954132435,0.5454545454545454,-0.017323033512146944,-0.6905942580289274,0.45454545454545453
grid,OJ_3-3,OJ,03-03,OJ 03,single-month grid,grid,1,13,0.0025067045470746163,0.08833351221485286,12,-0.010690161025753554,-0.3658146458572611,0.4166666666666667,0.2057942057942058,0.025220084320478477,-0.04660040637198559,?,-0.004856827692420224,-0.1661994331060324,0.5,-0.010690161025753554,-0.3658146458572611,0.4166666666666667,-0.019023494359086887,-0.6509792355018735,0.3333333333333333
named,OJ_3-3,OJ,03-03,OJ post-freeze fade,risk premium unwinds,softs seasonality,1,13,0.0025067045470746163,0.08833351221485286,12,-0.010690161025753554,-0.3658146458572611,0.4166666666666667,0.20679320679320679,0.025220084320478477,-0.04660040637198559,?,-0.004856827692420224,-0.1661994331060324,0.5,-0.010690161025753554,-0.3658146458572611,0.4166666666666667,-0.019023494359086887,-0.6509792355018735,0.3333333333333333
grid,ZM_9-9,ZM,09-09,ZM 09,single-month grid,grid,-1,15,-0.10242039733281773,-2.874777012434176,11,-0.008849235120508316,-0.3684496706766605,0.5454545454545454,0.2127872127872128,-0.022599322452525,0.002609170989505588,N,-0.0030159017871749833,-0.12557108101947967,0.5454545454545454,-0.008849235120508316,-0.3684496706766605,0.5454545454545454,-0.01718256845384165,-0.7154190844726334,0.5454545454545454
grid,KC_7-7,KC,07-07,KC 07,single-month grid,grid,1,15,0.003276252356432368,0.18443224114824627,12,-0.008636444374456037,-0.36925218088982464,0.3333333333333333,0.23676323676323677,-0.003225996848831495,-0.01404689190008058,?,-0.0028031110411227077,-0.11984733766968762,0.3333333333333333,-0.008636444374456037,-0.36925218088982464,0.3333333333333333,-0.01696977770778937,-0.7255448140614492,0.3333333333333333
grid,OJ_12-12,OJ,12-12,OJ 12,single-month grid,grid,-1,14,-0.01128286828621476,-0.5083321878349422,11,-0.016246414322169257,-0.37220559186300817,0.45454545454545453,0.2947052947052947,0.04824127655117687,-0.06998615671662436,?,-0.010413080988835931,-0.23856383911607698,0.45454545454545453,-0.016246414322169257,-0.37220559186300817,0.45454545454545453,-0.024579747655502596,-0.5631223815014815,0.36363636363636365
grid,PA_12-12,PA,12-12,PA 12,single-month grid,grid,1,15,0.03785736107202441,1.4942803165445266,11,-0.008839196633268915,-0.37480103335576026,0.5454545454545454,0.1928071928071928,-0.017122224879716687,-0.0019366730945624456,?,-0.0030058632999355865,-0.12745509775195185,0.6363636363636364,-0.008839196633268915,-0.37480103335576026,0.5454545454545454,-0.01717252996660225,-0.7281523699326298,0.5454545454545454
grid,HE_3-3,HE,03-03,HE 03,single-month grid,grid,-1,14,-0.016262481757773284,-0.7538091096993919,12,-0.015468496040394103,-0.3863083765876328,0.5,0.36563436563436563,-0.003879033561468584,-0.027057958519319626,Y,-0.009635162707060775,-0.24062740513379072,0.5833333333333334,-0.015468496040394103,-0.3863083765876328,0.5,-0.023801829373727424,-0.5944240500931214,0.4166666666666667
grid,ZM_2-2,ZM,02-02,ZM 02,single-month grid,grid,1,14,0.028955681225319208,1.3128575204878847,12,-0.007919947006523721,-0.3950305210448207,0.4166666666666667,0.2017982017982018,0.005235350442189629,-0.021075244455237067,N,-0.002086613673190385,-0.10407595983416083,0.4166666666666667,-0.007919947006523721,-0.3950305210448207,0.4166666666666667,-0.01625328033985705,-0.8106798942029059,0.3333333333333333
named,SI_9-9,SI,09-09,Silver autumn,industrial + festive demand,SSRN 2598514,-1,15,-0.005136478752144074,-0.15456464660277477,11,-0.011513259978326034,-0.40153662286620423,0.45454545454545453,0.42357642357642356,-0.009716318791138068,-0.013010710967649343,?,-0.005679926644992709,-0.19809320448349185,0.45454545454545453,-0.011513259978326034,-0.40153662286620423,0.45454545454545453,-0.019846593311659368,-0.6921700776986509,0.45454545454545453
